epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
51,1428.04,1.46064,2.19288,1.33216,1.29989,0,0.76631,0.63194,0.69997,0.37994,0.77473,0.63889,0.71004,0.36844,1.53088,2.44745,1.3716,1.37359,0,0.00101,0.00101,0.00101
52,1455.44,1.46722,2.14036,1.31587,1.2976,0,0.66609,0.67881,0.67215,0.36948,0.64954,0.63194,0.66281,0.33506,1.56222,2.43517,1.36082,1.41437,0,0.0009902,0.0009902,0.0009902
53,1482.68,1.43724,2.18567,1.32848,1.28847,0,0.6945,0.60417,0.65157,0.35884,0.68941,0.61806,0.67046,0.33189,1.62046,2.43508,1.53114,1.44947,0,0.0009704,0.0009704,0.0009704
54,1509.85,1.44606,2.11754,1.31544,1.29058,0,0.6306,0.61111,0.64548,0.35367,0.6888,0.625,0.66053,0.32666,1.58191,2.5436,1.44389,1.43372,0,0.0009506,0.0009506,0.0009506
55,1537.19,1.47767,2.17094,1.32457,1.28951,0,0.63216,0.66835,0.70545,0.38625,0.65135,0.68761,0.71495,0.36397,1.56844,2.42254,1.32749,1.3922,0,0.0009308,0.0009308,0.0009308
56,1565.52,1.4854,2.09272,1.34791,1.32373,0,0.72869,0.59722,0.65974,0.37105,0.72356,0.618,0.66998,0.33483,1.61194,2.53862,1.32077,1.40222,0,0.000911,0.000911,0.000911
57,1593.8,1.43398,2.105,1.30003,1.30358,0,0.77706,0.55556,0.65103,0.34963,0.7246,0.5847,0.66271,0.31013,1.64542,2.54368,1.39794,1.44359,0,0.0008912,0.0008912,0.0008912
58,1621.57,1.42916,2.14412,1.24641,1.27665,0,0.66989,0.67644,0.70961,0.4,0.70996,0.65972,0.72229,0.37952,1.54001,2.34846,1.29135,1.3585,0,0.0008714,0.0008714,0.0008714
59,1649.08,1.4591,2.15251,1.31356,1.29831,0,0.63673,0.53472,0.57228,0.29703,0.6575,0.52778,0.53237,0.24391,1.75975,2.86209,1.9022,1.53611,0,0.0008516,0.0008516,0.0008516
60,1676.28,1.40778,2.12114,1.24894,1.26876,0,0.66624,0.63768,0.67343,0.38459,0.68305,0.6585,0.6732,0.36389,1.5505,2.3759,1.31865,1.39925,0,0.0008318,0.0008318,0.0008318
61,1703.82,1.38337,2.08674,1.27115,1.27216,0,0.78188,0.60417,0.69001,0.37215,0.83999,0.625,0.69638,0.35382,1.52296,2.42628,1.35965,1.35142,0,0.000812,0.000812,0.000812
62,1731.21,1.42067,2.05101,1.23511,1.25639,0,0.69846,0.65949,0.67999,0.38009,0.71373,0.65794,0.69961,0.35204,1.52864,2.43392,1.29019,1.36499,0,0.0007922,0.0007922,0.0007922
63,1758.38,1.41824,2.09745,1.26302,1.2729,0,0.72634,0.64513,0.69853,0.3747,0.65865,0.68056,0.69622,0.34553,1.63675,2.38845,1.35642,1.44557,0,0.0007724,0.0007724,0.0007724
64,1785.91,1.4278,2.10797,1.28151,1.28149,0,0.6325,0.63194,0.63185,0.35053,0.66204,0.63194,0.63512,0.31769,1.5994,2.55523,1.48482,1.40561,0,0.0007526,0.0007526,0.0007526
65,1814.54,1.38117,2.02813,1.19232,1.24776,0,0.71348,0.63985,0.69121,0.36131,0.7065,0.63523,0.66652,0.33005,1.60803,2.53555,1.4363,1.39454,0,0.0007328,0.0007328,0.0007328
66,1842.66,1.38099,2.0615,1.18616,1.23792,0,0.69024,0.68087,0.71656,0.40308,0.68438,0.67764,0.70984,0.3684,1.48402,2.33105,1.26767,1.3171,0,0.000713,0.000713,0.000713
67,1869.87,1.4288,2.09369,1.23218,1.27371,0,0.74015,0.64583,0.71609,0.39514,0.75659,0.65972,0.72504,0.36229,1.56559,2.37969,1.31857,1.39928,0,0.0006932,0.0006932,0.0006932
68,1897.49,1.36264,2.01519,1.20261,1.23377,0,0.68131,0.68292,0.7015,0.40993,0.69461,0.695,0.712,0.37167,1.52266,2.30987,1.2804,1.37114,0,0.0006734,0.0006734,0.0006734
69,1925.16,1.40633,2.07132,1.21222,1.27211,0,0.73158,0.67361,0.70083,0.39484,0.74731,0.6875,0.71272,0.36083,1.57134,2.37368,1.32402,1.37556,0,0.0006536,0.0006536,0.0006536
